LV_Name,LV_Family,LV_Manufacturer,LV_Max_Stage,Length,Diameter,Launch_Mass,LEO_Capacity,TO_Thrust,Class
?,Unknown             ,,1,  0.0 , 0.00 ,     0.0 ,       0 ,       0 ,R
Unknown,Unknown             ,,1,  0.0 , 0.00 ,     0.0 ,       0 ,       0 ,R
N-1 11A52,N-1                 ,OKB1,3,105.3 ,14.00 ,  2788.0 ,   70000 ,   45300 ,O
Saturn V,SaturnV             ,MSFC,4,110.6 ,10.06 ,  2913.0 ,  118000 ,   34030 ,O
Starship V1.0 Ship,Starship            ,SPX,1, 50.0 , 9.00 ,  1470.0 ,       0 ,   12000 ,T
Starship V1.0,Starship            ,SPX,2,121.3 , 9.00 ,  5020.0 ,  100000 ,   72500 ,O
Starship V2,Starship            ,SPX,2,121.4 , 9.00 ,  5200.0 ,  100000 ,   80800 ,O
Starship V3,Starship            ,SPX,2,142.0 , 9.00 ,  7000.0 ,  200000 ,  103000 ,O
Space Shuttle,SRB                 ,RWI,3, 38.1 , 8.40 ,  2040.0 ,   24400 ,   28200 ,O
SLS Block 1,SRB                 ,BOMIS,3, 98.1 , 8.40 ,  2608.0 ,       0 ,   39000 ,O
Energiya,Energiya            ,NPOE,1, 58.7 , 7.75 ,  2524.0 ,   88000 ,   35139 ,O
Energiya/Buran,Energiya            ,NPOE,1, 58.7 , 7.75 ,  2524.0 ,   88000 ,   35139 ,O
UR-500,Proton              ,KHRU,2, 39.0 , 7.40 ,   595.0 ,    8400 ,    9500 ,O
UR-500K,Proton              ,KHRU,3, 50.0 , 7.40 ,   694.0 ,   19000 ,    9500 ,O
UR-500K/Blok D,Proton              ,KHRU,6, 55.4 , 7.40 ,   691.5 ,    5000 ,    9500 ,O
Proton-K,Proton              ,KHRU,3, 50.0 , 7.40 ,   694.0 ,   21000 ,    9500 ,O
Proton-K/D,Proton              ,KHRU,6, 55.4 , 7.40 ,   691.5 ,    5000 ,    9500 ,O
Proton-K/D-1,Proton              ,KHRU,6, 55.4 , 7.40 ,   691.5 ,    5000 ,    9500 ,O
Proton-K/D-2,Proton              ,KHRU,6, 55.4 , 7.40 ,   691.5 ,    5000 ,    9500 ,O
Proton-K/DM,Proton              ,KHRU,6, 57.2 , 7.40 ,   691.5 ,    5000 ,    9500 ,O
Proton-K/DM-2,Proton              ,KHRU,6, 57.2 , 7.40 ,   691.5 ,    5000 ,    9500 ,O
Proton-M,Proton              ,KHRU,3, 53.0 , 7.40 ,   712.8 ,   21000 ,   10000 ,O
Proton-M/DM-2,Proton              ,KHRU,6, 53.0 , 7.40 ,   712.8 ,   21000 ,   10000 ,O
Proton-M/DM-3,Proton              ,KHRU,6, 53.0 , 7.40 ,   712.8 ,   21000 ,   10000 ,O
Proton-K/DM-2M,Proton              ,KHRU,6, 57.2 , 7.40 ,   691.5 ,    5000 ,    9500 ,O
Proton-K/17S40,Proton              ,KHRU,6, 57.2 , 7.40 ,   691.5 ,    5000 ,    9500 ,O
Proton-K/Briz-M,Proton              ,KHRU,4, 53.0 , 7.40 ,   700.0 ,   21000 ,    9500 ,O
Proton-M/Briz-M,Proton              ,KHRU,4, 53.0 , 7.40 ,   712.8 ,   21000 ,   10000 ,O
Neutron,Neutron,RLABU,2, 42.8 , 7.00 ,   480.0 ,,    6570 ,O
New Glenn 7x2,NewGlenn,BLORCC,2, 98.0 , 7.00 ,  1050.0 ,,   17219 ,O
New Glenn 9x4,NewGlenn,BLORCC,2,122.0 , 7.00 ,  1200.0 ,,   25622 ,O
Saturn C-1,Saturn              ,MSFC,3, 49.6 , 6.60 ,   420.0 ,    9000 ,    5768 ,O
Saturn I,Saturn              ,MSFC,3, 50.4 , 6.60 ,   420.0 ,    9000 ,    5768 ,O
Saturn IB,Saturn              ,MSFC,2, 68.1 , 6.53 ,   587.3 ,,    7290 ,O
Uprated Saturn I,Saturn              ,MSFC,2, 68.1 , 6.53 ,   587.3 ,,    7290 ,O
ATB,MX                  ,RSLP,1, 16.0 , 5.50 ,   140.6 ,,    1711 ,T
Vulcan Centaur VC0S,Vulcan,ULAD,2, 67.0 , 5.40 ,   592.7 ,   27200 ,    4900 ,O
Vulcan Centaur VC2S,Vulcan,ULAD,2, 67.0 , 5.40 ,   698.7 ,   27200 ,    8888 ,O
Vulcan Centaur VC4S,Vulcan,ULAD,2, 67.0 , 5.40 ,   804.8 ,   27200 ,   13288 ,O
Vulcan Centaur VC6S,Vulcan,ULAD,2, 67.0 , 5.40 ,   910.8 ,   27200 ,   17688 ,O
Ariane 5G,Ariane5             ,EADSL,2, 45.7 , 5.40 ,   746.0 ,   10000 ,   11400 ,O
Ariane 5G+,Ariane5             ,EADSL,2, 45.7 , 5.40 ,   746.0 ,   10000 ,   11400 ,O
Ariane 5GS,Ariane5             ,EADSL,2, 45.7 , 5.40 ,   746.0 ,   10000 ,   11400 ,O
Ariane 5ES/ATV,Ariane5             ,EADSL,2, 45.7 , 5.40 ,   746.0 ,   20000 ,   11400 ,O
Ariane 5ES,Ariane5             ,EADSL,2, 45.7 , 5.40 ,   746.0 ,   20000 ,   11400 ,O
