JCAT,Name,TDate,Program,Category,Result
S00002,First Sputnik,1957 Oct 27,Sputnik,TECH,S
S00003,Second Sputnik,1957 Nov  9,Sputnik,BIO,S
S00004,Explorer 1,1958 Apr  1,Explorer ABMA,SCI,S
S00005,[Vanguard I],1964 Mar,Vanguard Test,TECH,S
S00006,[Explorer III],1958 May 10,Explorer ABMA,SCI,S
S00008,Third Sputnik,1958 Jun  5,ObjectD,SCI,S
S00009,[Explorer IV],1958 Sep 19,Explorer ABMA,SCI,S
S00010,[SCORE],1958 Dec 31,SCORE,COM,S
S00011,[Vanguard II],1959 Mar  7,Vanguard,IMG,S
S00013,[Discoverer I],1959 Feb 28,CORONA Early,TECH,F
S00014,[Discoverer II],1959 Apr 13,CORONA Early,TECH,S
S00015,[Explorer VI],1959 Oct  6,ExplorerG,SCI,S
S00018,[Discoverer V],1959 Aug 14,CORONA Early,IMG,S
S00019,[Discoverer VI],1959 Aug 20,CORONA Early,IMG,S
S00020,[Vanguard III],1959 Dec 12,Vanguard3,SCI,S
S00021,Third Space Rocket,1959 Nov 15,Luna,PLAN,S
S00022,[Explorer VII],1961 Feb,ExplorerG,SCI,S
S00024,[Discoverer VII],1959 Nov  8,CORONA Early,IMG,F
S00025,[Discoverer VIII],1959 Nov 21,CORONA Early,IMG,S
S00026,SRV 111,1959 Aug 14,SRV,RV,F
S00027,[Pioneer V],1960 Jun 23,Able,PLAN,S
S00029,[Tiros I],1960 Jun 18,Tiros A,MET,S
S00031,[Transit 1B],1960 Jul 12,Transit,NAV,S
S00032,[Discoverer XI],1960 Apr 16,CORONA Early,IMG,S
S00033,Dummy subsatellite,1960 Apr 13,GRAB,TECH,S
S00036,First Space Ship,1960 May 19,Vostok1,SS,F
S00043,[Midas 2],1960 May 25,Midas ETS,EW,S
S00045,[Transit 2A],1962 Oct 26,Transit,NAV,S
S00046,[Greb],1961 Apr 18,GRAB,SIG,S
S00048,[Discoverer XIII],1960 Aug 11,CORONA Early,IMG,S
S00049,[Echo],1960?,Echo,COM,S
S00054,[Discoverer XIV],1960 Aug 19,CORONA Early,IMG,S
S00055,Second Space Ship,1960 Aug 20 0802,Vostok1,SS,S
S00057,[Discoverer XV],1960 Sep 15,CORONA Early,IMG,S
S00058,[Courier IB],1960 Oct 22,Courier,COM,S
S00060,[Explorer VIII],1960 Dec 27,ExplorerG,SCI,S
S00061,[Discoverer XVII],1960 Nov 14,CORONA Early,IMG,S
S00063,[Tiros II],1962 May,Tiros A,MET,S
S00065,Third Space Ship,1960 Dec  2 0712,Vostok1,SS,S
S00067,[Discoverer XVIII],1960 Dec 10,CORONA Early,IMG,S
S00068,[Discoverer XIX],1960 Dec 25,CORONA Early,IMG,S
S00070,[Samos II],1961 Feb  2,SAMOS F-1,SIG,S
S00071,Heavy Sputnik,1961 Feb  4?,MV,PLAN,F
