JCAT,Satcat,Launch_Tag,Owner,Manufacturer,Bus,TotMass,OpOrbit
S00001,1,1957 ALP,OKB1,OKB1,Blok-A,7800.0,LLEO/I
S00002,2,1957 ALP,OKB1,OKB1,PS,84.0,LLEO/I
S00003,3,1957 BET,OKB1,OKB1,PS,8308.0,LEO/I
S00004,4,1958 ALP,ABMA/JPLA,JPLA,Explorer,14.0,LEO/I
S00005,5,1958 BET,NRL,NRL,"NRL 6""",2.0,MEO
S00006,6,1958 GAM,ABMA/JPLA,JPLA,Explorer,14.0,LEO/I
S00007,7,1958 DEL,OKB1,OKB1,Blok-A,7820.0,LEO/I
S00008,8,1958 DEL,OKB1,OKB1,Object D,1327.0,LEO/I
S00009,9,1958 EPS,ABMA/JPLA,JPLA,Explorer,17.0,LEO/I
S00010,10,1958 ZET,ARPA/SCEL,SCEL,SCORE,3718.0,LEO/I
S00011,11,1959 ALP,BSC,NRL,"NRL 20""",10.0,LEO/I
S00012,12,1959 ALP,BSC,GCR,33-KS-2800,22.0,MEO
S00013,13,1959 BET,ARPA/CIA,LMSD,CORONA,668.0,LLEO/P
S00014,14,1959 GAM,ARPA/CIA,LMSD,CORONA,788.0,LLEO/P
S00015,15,1959 DEL,GSFC,TRW,Able Probe,42.0,HEO
S00016,16,1958 BET,NRL,GCR,33-KS-2800,22.0,MEO
S00017,17,1959 DEL,AFBMD,ABL,Altair,24.0,GTO
S00018,18,1959 EPS,ARPA/CIA,LMSD,CORONA,730.0,LLEO/I
S00019,19,1959 ZET,ARPA/CIA,LMSD,CORONA,810.0,LLEO/I
S00020,20,1959 ETA,GSFC,NRL,"NRL 20""",47.0,MEO
S00021,21,1959 THE,OKB1,OKB1,E-2A,278.0,CLO
S00022,22,1959 IOT,GSFC,ABMA,S-1,41.0,LEO/I
S00023,23,1959 IOT,ABMA,JPL,RTV Motor,6.0,LEO/I
S00024,24,1959 KAP,ARPA/CIA,LMSD,CORONA,920.0,LLEO/I
S00025,25,1959 LAM,CIA,LMSD,CORONA,835.0,LEO/I
S00026,26,1959 EPS,CIA,GEMSD,SRV Mk IIA,140.0,LEO/I
S00027,27,1960 ALP,NASA/TRW,TRW,Able Probe,43.0,EEO
S00028,28,1960 BET,AFBMD,ABL,Altair,24.0,LEO/I
S00029,29,1960 BET,GSFC,RCA,Tiros,122.0,LEO/I
S00030,30,1960 GAM,AFBMD,AJ,Ablestar,600.0,LLEO/I
S00031,31,1960 GAM,ARPA/BUWEPS,APL,Transit 1,121.0,LLEO/I
S00032,32,1960 DEL,AFBMD/CIA,LMSD,CORONA,781.0,LLEO/I
S00033,33,1960 GAM,APL,APL,Dummy,2.0,LLEO/I
S00034,34,1960 EPS,OKB1,OKB1,Vostok PO,2600.0,LLEO/I
S00035,35,1960 EPS,RVSN,OKB1,Blok-E,1440.0,LLEO/I
S00036,36,1960 EPS,OKB1,OKB1,Vostok,4500.0,LLEO/I
S00037,37,1960 EPS,OKB1,,,0.0,LLEO/I
S00038,38,1960 EPS,OKB1,,,0.0,LLEO/I
S00039,39,1960 EPS,OKB1,,,0.0,LLEO/I
S00040,40,1960 EPS,OKB1,,,0.0,LLEO/I
S00041,41,1960 EPS,OKB1,,,0.0,LLEO/I
S00042,42,1960 EPS,OKB1,,,0.0,LLEO/I
S00043,43,1960 ZET,AFBMD,LMSD,Midas,2000.0,LLEO/I
S00044,44,1960 ZET,AFBMD,LMSD,Agena Fairing,50.0,LLEO/I
S00045,45,1960 ETA,BUWEPS,APL,Transit 1,100.0,LEO/I
S00046,46,1960 ETA,NRL,NRL,"NRL 20""",19.0,LEO/I
S00047,47,1960 ETA,AFBMD,AJ,Ablestar,600.0,LEO/I
S00048,48,1960 THE,AFBMD/CIA,LMSD,CORONA,780.0,LLEO/I
S00049,49,1960 IOT,LARCN,SCHJ,Echo 100',75.0,LEO/I
S00050,50,1960 IOT,GSFC,ABL,Altair,24.0,LEO/I
S00051,51,1960 IOT,LARCN,KAIFW,Echo Canister,5.0,LEO/I
S00052,52,1960 IOT,LARCN,,,0.0,LEO/I
S00053,53,1960 IOT,LARCN,KAIFW,Echo Canister,5.0,LEO/I
S00054,54,1960 KAP,AFBMD/CIA,LMSD,CORONA,810.0,LLEO/I
S00055,55,1960 LAM,OKB1,OKB1,Vostok,4580.0,LLEO/I
S00056,56,1960 LAM,RVSN,GAZ1,Blok-E,1440.0,LLEO/I
S00057,57,1960 MU,AFBMD/CIA,LMSD,CORONA,810.0,LLEO/I
S00058,58,1960 NU,SCEL,SCEL/PHLP,Courier,225.0,LEO/I
S00059,59,1960 NU,AFBMD,AJ,Ablestar,600.0,LEO/I
S00060,60,1960 XI,GSFC,MSFC,S-1,41.0,LEO/I
S00061,61,1960 OMI,AFBMD/CIA,LMSD,CORONA,1037.0,LLEO/I
S00062,62,1960 XI,MSFC,JPL,RTV Motor,6.0,LEO/I
S00063,63,1960 PI,GSFC,RCA,Tiros,122.0,LEO/I
S00064,64,1960 PI,GSFC,ABL,Altair,24.0,LEO/I
S00065,65,1960 RHO,OKB1,OKB1,Vostok,4580.0,LLEO/I
S00066,66,1960 RHO,RVSN,GAZ1,Blok-E,1440.0,LLEO/I
S00067,67,1960 SIG,AFBMD/CIA,LMSD,CORONA,1040.0,LLEO/I
S00068,68,1960 TAU,AFBMD/ARPA,LMSD,CORONA,936.0,LLEO/I
S00069,69,1960 XI,GSFC,,,1.0,LEO/I
S00070,70,1961 ALP,AFBMD,LMSD,Samos,166.0,LLEO/S
S00071,71,1961 BET,OKB1,OKB1,1VA,5620.0,LLEO/I
S00072,72,1961 BET,RVSN,PROG,Blok-I,2900.0,LLEO/I
S00073,73,1961 BET,RVSN,OKB1,BOZ,600.0,LLEO/I
S00074,74,1960 PI,GSFC,RCA,,1.0,LEO/I
S00075,75,1960 PI,GSFC,RCA,,1.0,LEO/I
S00076,76,1961 GAM,RVSN,PROG,Blok-I,2900.0,LLEO/I
S00077,77,1961 GAM,RVSN,OKB1,BOZ,600.0,LLEO/I
S00078,78,1961 GAM,OKB1,,,0.0,LLEO/I
S00079,79,1961 ALP,AFBMD,LMSD,Agena A,1694.0,LLEO/S
S00080,80,1961 GAM,OKB1,OKB1,1VA,620.0,EEO
S00081,81,1961 DEL,LARCN,SCHJ,12' Sphere,6.0,LEO/I
S00082,82,1961 DEL,LARCN,ABL,Altair,53.0,LEO/I
